Title,Year,Type,IMDb Rating,Genre,Short Description,IMDb Link
Pineapple Express,2008,Movie,6.9,"Action, Comedy, Crime","A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after witnessing a murder.",https://www.imdb.com/title/tt0910936/
Baby Driver,2017,Movie,7.6,"Action, Crime, Drama","A talented young getaway driver is coerced into working for a crime boss and finds himself taking part in a heist doomed to fail.",https://www.imdb.com/title/tt3890160/
Superbad,2007,Movie,7.6,Comedy,"Two co-dependent high school seniors try to score alcohol for a party, hoping to hook up with their crushes before college.",https://www.imdb.com/title/tt0829482/
21 Jump Street,2012,Movie,7.2,"Action, Comedy, Crime","Two young cops go undercover as high school students to investigate a dangerous drug ring.",https://www.imdb.com/title/tt1232829/
Coupling,2000-2004,TV Show,8.5,"Comedy, Romance","Six friends in their thirties navigate dating, relationships, and sexual mishaps in London.",https://www.imdb.com/title/tt0237123/
The Perks of Being a Wallflower,2012,Movie,7.9,"Drama, Romance","An introverted freshman is taken under the wings of two seniors who welcome him to the real world.",https://www.imdb.com/title/tt1659337/
Drive,2011,Movie,7.8,"Action, Drama","A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.",https://www.imdb.com/title/tt0780504/
Why Him?,2016,Movie,6.2,Comedy,"A dad forms a bitter rivalry with his daughter's young rich boyfriend.",https://www.imdb.com/title/tt4501244/
Friends with Benefits,2011,Movie,6.5,"Comedy, Romance","Two friends decide to have sex without falling in love, but things get complicated.",https://www.imdb.com/title/tt1632708/
"Crazy, Stupid, Love",2011,Movie,7.4,"Comedy, Drama, Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce.",https://www.imdb.com/title/tt1570728/
Nightcrawler,2014,Movie,7.8,"Crime, Drama, Thriller","A driven young man stumbles upon the underground world of L.A. freelance crime journalism.",https://www.imdb.com/title/tt2872718/
What Happens in Vegas,2008,Movie,6.1,"Comedy, Romance","Two strangers get married in Vegas and must deal with the consequences.",https://www.imdb.com/title/tt1033643/
Prisoners,2013,Movie,8.1,"Crime, Drama, Mystery","When his daughter and her friend go missing, a man takes matters into his own hands as the police pursue multiple leads.",https://www.imdb.com/title/tt1392214/
After Ever Happy,2022,Movie,4.7,"Drama, Romance","The fourth installment in the ""After"" film series, continuing the tumultuous relationship between Tessa and Hardin.",https://www.imdb.com/title/tt13070038/
Knight and Day,2010,Movie,6.3,"Action, Comedy, Romance","A woman gets mixed up with a spy who is trying to clear his name.",https://www.imdb.com/title/tt1013743/
Whiplash,2014,Movie,8.5,"Drama, Music","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",https://www.imdb.com/title/tt2582802/
Gone Girl,2014,Movie,8.1,"Drama, Mystery, Thriller","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",https://www.imdb.com/title/tt2267998/
Freaks and Geeks,1999-2000,TV Show,8.8,"Comedy, Drama","A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.",https://www.imdb.com/title/tt0193676/
Undeclared,2001-2002,TV Show,8.0,Comedy,"College freshman Steve Karp, his girlfriend and their fellow dormmates embark on one of the greatest experiences of their lives.",https://www.imdb.com/title/tt0273028/
Ghosted,2023,Movie,5.8,"Action, Adventure, Comedy","A man falls for a woman who turns out to be a secret agent, leading to an adventure across the globe.",https://www.imdb.com/title/tt15326988/
500 Days of Summer,2009,Movie,7.7,"Comedy, Drama, Romance","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",https://www.imdb.com/title/tt1022603/
"Dude, Where's My Car?",2000,Movie,5.5,"Comedy, Sci-Fi","Two young men wake up after a night of partying and cannot remember where they parked their car.",https://www.imdb.com/title/tt0242423/
There's Something About Mary,1998,Movie,7.1,"Comedy, Romance","A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",https://www.imdb.com/title/tt0129387/
"Me, Myself & Irene",2000,Movie,6.6,Comedy,"A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.",https://www.imdb.com/title/tt0183505/
Forgetting Sarah Marshall,2008,Movie,7.1,"Comedy, Drama, Romance","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",https://www.imdb.com/title/tt0800039/
Green Book,2018,Movie,8.2,"Biography, Comedy, Drama","A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",https://www.imdb.com/title/tt6966692/
The Next Three Days,2010,Movie,7.3,"Action, Crime, Drama","A married couple's life is turned upside down when the wife is accused of murder.",https://www.imdb.com/title/tt1458175/
War Dogs,2016,Movie,7.1,"Biography, Comedy, Crime","Two young men exploit a little-known government initiative that allows small businesses to bid on U.S. Military contracts.",https://www.imdb.com/title/tt2005151/
What If,2013,Movie,6.8,"Comedy, Romance","Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",https://www.imdb.com/title/tt1486834/
Bad Teacher,2011,Movie,5.7,Comedy,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.",https://www.imdb.com/title/tt1284575/
Just Go with It,2011,Movie,6.4,"Comedy, Romance","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",https://www.imdb.com/title/tt1564367/
